step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
151,117230,302,0.013309688808677401,1.0,1.0,,,
152,118496,304,0.009362727413640323,1.0,1.0,,,
153,118978,306,0.01050207696002396,0.5,0.9736842105263158,0.014882126051309683,1.0,1.0
154,119204,308,0.010051456531978554,1.0,1.0,,,
155,119926,310,0.012389334033824764,1.0,1.0,,,
156,120568,312,0.010690603858605843,1.0,1.0,,,
157,121114,314,0.009302776163510596,1.0,1.0,,,
158,122220,316,0.01288760051411834,1.0,1.0,,,
159,123790,318,0.009259491373837843,1.0,1.0,,,
160,124336,320,0.010360815760967418,1.0,1.0,,,
161,124658,322,0.015368865754306765,1.0,1.0,0.010812487810046628,1.0,1.0
162,125204,324,0.012817581601531005,1.0,1.0,,,
163,125910,326,0.012607285585052709,1.0,1.0,,,
164,126360,328,0.011137269293543547,1.0,1.0,,,
165,126986,330,0.011507904687378652,1.0,1.0,,,
166,127564,332,0.012575276686806337,1.0,1.0,,,
167,127918,334,0.012479021748157364,1.0,1.0,,,
168,128512,336,0.013392672338204908,1.0,1.0,,,
169,128834,338,0.01988721403664917,0.5,0.9736842105263158,0.016443481970023197,0.5,0.9736842105263158
170,129444,340,0.01238774031161447,1.0,1.0,,,
171,129686,342,0.01352031255420633,1.0,1.0,,,
172,130216,344,0.01208471922877627,1.0,1.0,,,
173,131370,346,0.010754403813657505,1.0,1.0,,,
174,132572,348,0.010086410023450352,1.0,1.0,,,
175,133694,350,0.010822240822811701,0.5,0.9736842105263158,,,
176,134032,352,0.013926487394432294,0.5,0.9736842105263158,,,
177,134706,354,0.007447960516000153,1.0,1.0,0.00825976941126359,1.0,1.0
178,135604,356,0.008855509401531155,1.0,1.0,,,
179,136342,358,0.010940217201150177,0.5,0.9736842105263158,,,
180,137320,360,0.024223817349803403,0.5,0.9736842105263158,,,
181,138106,362,0.012335532616859787,1.0,1.0,,,
182,140780,364,0.007861883932005142,1.0,1.0,,,
183,141230,366,0.01274194497639167,1.0,1.0,,,
184,141664,368,0.013827835318056968,1.0,1.0,,,
185,142306,370,0.012656747379014602,1.0,1.0,0.01242947018691827,1.0,1.0
186,143092,372,0.012514516038109507,1.0,1.0,,,
187,143430,374,0.010576147083244872,1.0,1.0,,,
188,143816,376,0.009862072448787274,1.0,1.0,,,
189,144266,378,0.010808699624078173,1.0,1.0,,,
190,144732,380,0.008714050250991128,1.0,1.0,,,
191,145278,382,0.011739370369181882,1.0,1.0,,,
192,146560,384,0.008458995087078236,1.0,1.0,,,
193,147042,386,0.011988159632184591,1.0,1.0,0.014352699892909264,1.0,1.0
194,148436,388,0.007499318017574779,1.0,1.0,,,
195,148822,390,0.024279712204671604,0.5,0.9736842105263158,,,
196,149160,392,0.01699010776404369,1.0,1.0,,,
197,150442,394,0.007908664471968578,1.0,1.0,,,
198,150876,396,0.015951349904866415,0.5,0.9736842105263158,,,
199,151966,398,0.009244474482701602,1.0,1.0,,,
200,152752,400,0.014081001937751185,1.0,1.0,,,
201,153186,402,0.010218659433644795,1.0,1.0,0.010223741476258829,1.0,1.0
202,153860,404,0.007915458655508587,1.0,1.0,,,
203,154710,406,0.01217119412437997,1.0,1.0,,,
204,155704,408,0.007801617301640973,1.0,1.0,,,
205,156330,410,0.011521363176149541,1.0,1.0,,,
206,157820,412,0.006465582232037539,1.0,1.0,,,
207,158318,414,0.01649894665706488,1.0,1.0,,,
208,158864,416,0.010843263647417969,1.0,1.0,,,
209,159762,418,0.008332473092761434,1.0,1.0,0.008112309847374788,1.0,1.0
210,160900,420,0.009517357798185461,1.0,1.0,,,
211,161318,422,0.012048041397244337,1.0,1.0,,,
212,161832,424,0.012199707146132558,1.0,1.0,,,
213,162266,426,0.013164949623611642,1.0,1.0,,,
214,162828,428,0.01255641690572796,1.0,1.0,,,
215,165198,430,0.008578026873800345,1.0,1.0,,,
216,165552,432,0.013658399476946024,1.0,1.0,,,
217,166050,434,0.008982680074367614,1.0,1.0,0.014087478106345981,1.0,1.0
218,166564,436,0.013625799624594693,1.0,1.0,,,
219,168438,438,0.008598429787598064,1.0,1.0,,,
220,168792,440,0.018238989176200416,1.0,1.0,,,
221,169162,442,0.013493850347245137,1.0,1.0,,,
222,169708,444,0.010752553547140026,1.0,1.0,,,
223,170414,446,0.013140690903921047,1.0,1.0,,,
224,172928,448,0.008738637583998449,1.0,1.0,,,
225,173538,450,0.011501478006784856,1.0,1.0,0.03302412322632924,0.5,0.9736842105263158
226,174100,452,0.029828353084047757,0.5,0.9736842105263158,,,
227,174934,454,0.010095035448500324,1.0,1.0,,,
228,176952,456,0.013369449869824128,1.0,1.0,,,
229,177514,458,0.011987916409581273,0.5,0.9210526315789473,,,
230,178220,460,0.01562619865930726,1.0,1.0,,,
231,178830,462,0.009723989921111748,1.0,1.0,,,
232,180640,464,0.007575657055121327,1.0,1.0,,,
233,181554,466,0.014576879140892533,1.0,1.0,0.011832493089275633,1.0,1.0
